item_no,descr,item_vend_no,prc_1,lst_cost,categ_cod,subcat_cod,addl_descr_1,addl_descr_2,addl_descr_3,prof_alpha_1,prof_alpha_2,prof_alpha_3,nam,phone_1,ap_vend_no,vend_descr,vend_item_no,barcod,qty_on_hnd,lst_recv_dat,lst_sal_dat
22839,MiLA 2014 Postcard,1,1.5,0.4936,STATIONERY,POSTCARD,,,,,,,ARMAND HAMMER MUSEUM OF,,,MiLA 2014 Postcard,,,1369,6/25/14,6/28/15
24003,Frottage Postcard,1,1.5,0.6304,HAMMER PAP,POSTCARDS,,,,,,,ARMAND HAMMER MUSEUM OF,,,Frottage Postcard,,,897,2/27/15,6/28/15
24705,Scorched Earth Mark Bradford,1,49.95,11.89,BOOKS,CAT,,,,,,,ARMAND HAMMER MUSEUM OF,,,Scorched Earth Mark Bradford,,,310,6/12/15,6/28/15
23516,Monster journals,92054,2.5,0.625,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Monster journals,118-MT,,307,4/29/15,6/28/15
24715,Perfect Likeness Catalogue,1,49.95,18.14,EXH CAT,HAMMER PUB,,,,Russell Ferguson,,,ARMAND HAMMER MUSEUM OF,,,Perfect Likeness Catalogue,,,172,6/12/15,6/28/15
22029,Take It or Leave It,37913,60,30,EXH CAT,HAMMER PUB,,EXH CAT,,,,,PRESTEL,(888) 463-6110,,Take It or Leave It,9783791353425,,152,3/11/14,12/30/14
22034,Made in LA 2014,1,49.95,34,EXH CAT,HAMMER PUB,,EXH CAT,,,,,ARMAND HAMMER MUSEUM OF,,,Made in LA 2014,,,135,4/11/14,6/24/15
23335,Shrigley ace air freshener,106,5,1.8353,HOME,MISC,,,,,,,Third Drawer Down,,,Shrigley ace air freshener,TTM-DSCARFRESH,,133,6/3/15,6/22/15
23198,autopoint pencil .7mm,368,5,2.995,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint pencil .7mm,79924-70010,,105,6/25/15,6/28/15
23627,Enamel Mug Red,407,22,11,HOME,KITCHEN,,,,,,,Emalco Enamelware,,,Enamel Mug Red,STANDARD 9 CM-187C,,99,2/5/15,6/27/15
23629,Enamel Mug Morel,407,22,11,HOME,KITCHEN,,,,,,,Emalco Enamelware,,,Enamel Mug Morel,STANDARD 9CM-136C,,96,2/5/15,6/27/15
23199,autopoint jumbo pencil .9mm,368,5,2.995,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint jumbo pencil .9mm,79924-30010,,95,6/25/15,6/28/15
23630,Enamel Mug White,407,22,11,HOME,KITCHEN,,,,,,,Emalco Enamelware,,,Enamel Mug White,STANDARD 9CM-WHITE,,94,2/5/15,6/25/15
23628,Enamel Mug Pastel Green,407,22,11,HOME,KITCHEN,,,,,,,Emalco Enamelware,,,Enamel Mug Pastel Green,STANDARD 9 CM- 365C,,75,2/5/15,6/28/15
23200,autopoint dual pencil white .9,368,6,3.4116,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint dual pencil white .9,79924-20310,,74,6/25/15,6/26/15
23336,Shrigley record frisbee,106,20,9.18,HOME,MISC,,,,,,,Third Drawer Down,,,Shrigley record frisbee,TM-DSFRISBEE,,74,6/3/15,6/28/15
23339,Shrigley tea towel,106,32,14.6986,HOME,KITCHEN,,,,,,,Third Drawer Down,,,Shrigley tea towel,TTM-DSTT-FANCYROOM,,73,6/3/15,6/28/15
23631,Enamel Mug Marine,407,22,11,HOME,KITCHEN,,,,,,,Emalco Enamelware,,,Enamel Mug Marine,STANDARD 9CM-3165C,,66,2/5/15,6/28/15
23203,autopoint refill .7mm black,368,1.5,1.025,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint refill .7mm,79924-871-1,,61,6/25/15,6/27/15
23577,Kazoo,403,1.25,0.45,KIDS MERCH,,,,,,,,Greentones & Hohner,1-800-349-9541,,Kazoo,KC 50,,60,4/30/15,6/28/15
23205,autopoint blue refill .9mm,368,2,1.025,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint blue refill .9mm,79924-89410,,59,6/25/15,6/21/15
21444,Mitsubishi #460 Pen,255,5,2.75,HOME,DESKTOP,,,,,,,Kiosk,212.226.8601,,Mitsubishi #460 Pen,,,59,6/17/15,6/19/15
23237,Yu-Be lip balm,369,5,2.5,ACCESSORY,BEAUTY,,,,,,,"Yu-Be, Inc.",310-737-1150,,Yu-Be lip balm,5035300044,,59,5/12/15,6/28/15
23204,autopoint refill .9mm black,368,2,1.025,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint refill .9mm,79924-89110,,57,6/25/15,6/27/15
23206,autopoint red refill .9mm,368,2,1.025,HOME,DESKTOP,order in qty of 12,,,,,,Autopoint,(608) 757-0021,,autopoint red refill .9mm,79924-89310,,56,6/25/15,6/21/15
22897,refill fountain pen royal blue,319,3.5,1.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,refill fountain pen royal blue,4250278602192,,49,6/23/15,6/24/15
23201,autopoint dual pencil black/re,368,6,3.4116,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,autopoint dual pencil black/re,79924-20010,,48,6/25/15,6/23/15
23337,Shrigley 54 card deck,106,14,6.2497,HOME,MISC,,,,,,,Third Drawer Down,,,Shrigley 54 card deck,TTM-DSCARDS,,47,6/3/15,6/28/15
23351,NDPasquier yellow notebook,106,9,3.6786,STATIONERY,JOURNALS,,,,,,,Third Drawer Down,,,NDPasquier yellow notebook,NPNOTEL3,,45,6/3/15,6/28/15
21789,CASA Seal,272,7,3.25,HOME,DESKTOP,,,,,,,Sweet Bella,,,Casa Seal,MTCDS-ASST COLORS,,43,2/24/14,6/26/15
23349,NDPasquier pink notebook,106,9,3.6783,STATIONERY,JOURNALS,,,,,,,Third Drawer Down,,,NDPasquier pink notebook,NPNOTEL1,,42,6/3/15,6/28/15
8744,ORANGES & SARDINES,1,80,0,EXH CAT,HAMMER PUB,,EXH CAT,,"GARRELS,G",107,,ARMAND HAMMER MUSEUM OF,,,ORANGES & SARDINES,9780943739342,,39,6/12/15,2/11/15
22899,refill fountain pen red,319,3.5,1.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,refill fountain pen red,4250278602222,,37,6/23/15,5/13/15
23515,Creatibles DIY eraser set,92054,12,6,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Creatibles DIY eraser set,161-001,,37,6/18/15,6/26/15
24344,Bouncing Ball Kit,439,6,3,KIDS MERCH,ART SUPPLY,,,,,,,Copernicus,,,Bouncing all Kit,DIYBALL,,37,5/26/15,6/25/15
21439,Kaol Mints,255,14,7.7,HOME,EDIBLES,,Japan,,,,,Kiosk,212.226.8601,,Kaol Mints,,,36,6/17/15,5/10/15
21474,Woven Trivet,255,19,10.45,HOME,KITCHEN,,Italy,,,,,Kiosk,212.226.8601,,Woven Trivet,,,36,6/17/15,5/1/15
24016,Watercolors Romanian,255,16,8.8,HOME,DESKTOP,,,,,,,Kiosk,212.226.8601,,Watercolors Romanian,,,36,6/17/15,4/25/15
21770,Refill Fountain pen black,319,3.5,1.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Refill Fountain pen,4250278602253,,35,6/23/15,6/24/15
21466,Scissors Slip-n-snip,255,12,6.6,HOME,DESKTOP,,USA,,,,,Kiosk,212.226.8601,,Scissors Slip-n-snip,,,34,6/17/15,6/27/15
23179,simple happy birthday notecard,365,3,1.5,STATIONERY,NOTECARD,,,,,,,Sapling Press,412 681 1003,,simple happy birthday notecard,58,,34,3/26/15,6/27/15
23511,Paint Pods watercolor set,92054,8,4,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Paint Pods watercolor set,126-2,,33,4/29/15,6/28/15
21411,Audobon Bird Call,255,12,6.6,HOME,MISC,,Finland,,Kiosk,,,Kiosk,212.226.8601,,Audobon Bird Call,,,32,6/17/15,6/23/15
24019,Citra Sipper,255,6,3.3,HOME,KITCHEN,,,,,,,Kiosk,212.226.8601,,Citra Sipper,ASST COLORS,,32,6/17/15,6/28/15
23368,Inventions ruler,381,22,10.98,HOME,DESKTOP,,,,,,,Image Collection,,,Inventions by the Meter,9783934657366,,32,2/4/15,5/24/15
22848,Golda Mist Spray 2oz,339,18,9.27,HOME,,,,,,,,Studio Cue,,,Golda Mist Spray 2oz,,,31,3/24/15,6/27/15
24018,Bottle Stopper Pair,255,4,2.2,HOME,KITCHEN,,,,,,,Kiosk,212.226.8601,,Bottle Stopper Pair,,,30,6/17/15,6/27/15
8734,SNAPSHOT NEW ART FROM LOS ANGE,443,12,0,EXH CAT,HAMMER PUB,,EXH  CAT,1008 IN   STORAGE,HAMMER,107,,UCLA AT THE HAMMER,,,SNAPSHOT NEW ART FROM LOS ANGE,9780943739236,,30,6/13/15,4/23/15
23177,simple thank you notecard,365,3,1.5,STATIONERY,NOTECARD,,,,,,,Sapling Press,412 681 1003,,simple thank you,50,,30,3/26/15,6/10/15
8745,HAMMER PROJECTS,1,60,20,EXH CAT,HAMMER PUB,,EXH CAT,,"ELAINE,J",107,,ARMAND HAMMER MUSEUM OF,,,HAMMER PROJECTS,9780943739359,,29,6/12/15,6/9/15
24306,Cherry Trees Crystal Growing,439,7,3.5,KIDS MERCH,,,,,,,,Copernicus,,,Cherry Trees Crystal Growing,TFCHRY,,28,5/26/15,6/13/15
8738,UNDISCOVERED COUNTRY,1,35,0,EXH CAT,NON-HAMMER,,EXH CAT,828 IN STORAGE,"FERGUSON,R",107,,ARMAND HAMMER MUSEUM OF,,,UNDISCOVERED COUNTRY,9780943739274,,27,6/12/15,10/10/14
23236,Yu-Be tube lotion,369,16,8,ACCESSORY,BEAUTY,,,,,,,"Yu-Be, Inc.",310-737-1150,,Yu-Be tube lotion,5035300022,,27,5/12/15,6/27/15
23737,Yummy scented markers,92054,8.95,4.5,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Yummy scented markers,132-14,,27,4/29/15,6/23/15
22779,MILA t-shirt M,138,30,15,APPAREL,MERCHAND,,,,,,,American Apparel,,,MILA t-shirt M,2011P WHITE MADE IN,,27,6/27/14,6/8/15
22239,Notecard Anemome,260,3,1.375,STATIONERY,NOTECARD,,,,Herny Evans,,,Crane Creek Graphics,,,Notecard Anemome,721,,26,3/17/15,4/11/15
23367,History ruler,381,20,9.48,HOME,DESKTOP,,,,,,,Image Collection,,,History by the Meter,9783934657205,,26,2/4/15,6/28/15
21771,Refill Graphite Leads,319,6,3,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Refill Graphite Leads,420278601348,,25,6/23/15,4/5/15
22898,refill fountain pen green,319,3.5,1.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,refill fountain pen green,4250278602208,,25,6/23/15,6/24/15
21467,Stick Um,255,5,2.75,HOME,DESKTOP,,USA,,,,,Kiosk,212.226.8601,,Stick Um,,,25,6/17/15,5/12/15
23514,Neon colored pencils,92054,7,3.5,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Neon colored pencils,128-16,,25,4/29/15,6/23/15
22761,"Wabi Sabi for Artists, Designe",193,16,8.96,BOOKS,DESIGN,,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,"Wabi Sabi for Artists, Designe",9780981484600,,25,2/26/15,6/28/15
21437,Ideal Notebook Large,255,9,4.95,STATIONERY,JOURNALS,,Mexico,,,,,Kiosk,212.226.8601,,Ideal Notebook Large,,,24,6/17/15,6/6/15
23350,NDPasquier red notebook,106,9,3.6783,STATIONERY,JOURNALS,,,,,,,Third Drawer Down,,,NDPasquier red notebook,NPNOTEL2,,24,6/3/15,6/28/15
22514,Refill Fountain pen sepia,319,3.5,1.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Refill Fountain pen sepia,4250278602208,,23,6/23/15,6/9/15
21441,Metal Clips,255,14,7.7,HOME,DESKTOP,,Japan,,,,,Kiosk,212.226.8601,,Metal Clips,,,23,6/17/15,5/15/15
24043,Jam Seascape Strawberry & Rose,429,12.5,7.25,HOME,EDIBLES,,,Kevin West Public Program Fashion & Food,Sqirl,,,Sqirl,,,Jam Seascape Strawberry & Rose,,,23,6/12/15,6/25/15
23736,Double sided colored pencils,92054,7.95,4,KIDS MERCH,ART SUPPLY,,,MOQ 12,,,,INTERNATIONAL ARRIVALS,,,Double sided colored pencils,128-51,,23,4/29/15,6/23/15
